#Chromosome	Position	Peak_score	Tags_CTCF	Tags_IgG
chr1	39584490	34.0633333333	144	35
chr1	39587310	26.7233333333	144	35
chr1	39672005	26.94	56	9
chr1	39698780	15.0233333333	34	7
chr1	39818410	21.05	37	10
chr1	39968575	17.81	38	13
chr1	39993535	36.15	54	11
chr1	40435790	26.9133333333	78	21
chr1	40636770	16.3633333333	25	5
chr1	40714985	20.19	49	15
chr1	40825610	17.03	36	11
chr1	40854385	23.8666666667	46	8
chr1	40936130	16.4233333333	35	5
chr1	40944640	20.0433333333	43	3
chr1	42741920	19.1833333333	44	9
chr1	43123010	24.9433333333	51	18
chr1	43167670	23.2366666667	63	14
chr1	43195325	22.61	91	21
chr1	43196695	30.0766666667	91	21
chr1	43321490	28.7933333333	52	7
chr1	43956005	23.9933333333	57	15
chr1	44023800	16.96	35	6
chr1	45873970	18.0166666667	34	3
chr1	46971370	21.3066666667	35	1
chr1	51516025	19.7933333333	35	14
chr1	51654050	25.1666666667	50	7
chr1	51701460	22.9633333333	48	5
chr1	52061190	16.1433333333	37	9
chr1	52170750	35.45	61	13
chr1	52203695	20.3433333333	51	5
chr1	52227005	17.8433333333	47	19
chr1	52363920	16.66	32	9
chr1	52546880	33.5966666667	54	12
chr1	52687530	26.6033333333	62	8
chr1	53012160	22.63	50	14
chr1	53021625	37.4566666667	67	13
chr1	53150205	16.2866666667	29	3
chr1	54438450	18.9733333333	52	21
chr1	54722955	16.3466666667	30	5
chr1	55218990	18.6966666667	40	17
chr1	55249895	16.29	35	9
chr1	55440150	21.5133333333	34	3
chr1	55504615	16.4233333333	38	8
chr1	55931235	15.63	45	13
chr1	57034130	28.5433333333	55	11
chr1	57262655	15.3533333333	33	2
chr1	57485905	18.6066666667	36	6
chr1	57533040	15.0466666667	25	6
chr1	58026925	16.2933333333	40	8
chr1	58088185	34.23	65	10
chr1	58197680	15.3766666667	29	4
chr1	58353335	25.9066666667	42	8
chr1	58619465	19.58	34	5
chr1	58636300	15.26	28	6
chr1	58675915	16.85	36	4
chr1	58804030	17.8066666667	45	9
chr1	59127960	15.4566666667	42	17
chr1	59201640	16.5766666667	48	13
chr1	59304625	30.3366666667	59	10
chr1	59484180	16.03	37	8
chr1	59540795	21.7366666667	62	35
chr1	59661005	23.9066666667	49	11
chr1	59670825	57.96	93	20
chr1	59680320	32.97	55	13
chr1	59940695	15.6966666667	40	7
chr1	60486090	17.7966666667	38	7
chr1	60622310	16.1066666667	35	8
chr1	60879895	35.64	58	14
chr1	60917600	30.72	64	16
chr1	60925435	22.1066666667	38	12
chr1	61238160	22.0766666667	42	4
chr1	61818030	19.9133333333	29	8
chr1	62747860	25.5633333333	39	6
chr1	62769250	23.5066666667	58	17
chr1	62833095	16.6466666667	74	30
chr1	62866905	15.15	31	10
chr1	63011100	21.24	76	17
chr1	63031235	23.8866666667	66	11
chr1	63157610	15.89	27	7
chr1	63227820	41.78	120	23
chr1	63266050	15.73	29	4
chr1	63450465	16.81	33	6
chr1	63704740	24.5533333333	73	14
chr1	64494920	16.5133333333	31	7
chr1	64664265	23.6366666667	48	13
chr1	64756675	16.4433333333	32	7
chr1	64764340	20.5666666667	41	6
chr1	64782580	19.82	60	32
chr1	65056945	40.9133333333	66	8
chr1	65225025	23.9366666667	94	6
chr1	65225925	20.7966666667	94	6
chr1	65329550	16.4833333333	27	4
chr1	65435100	41.2866666667	66	8
chr1	66987735	22.18	36	2
chr1	67108255	23.7466666667	42	17
chr1	69423735	22.78	47	16
chr1	69735720	17.78	30	3
chr1	70833895	17.6933333333	30	5
chr1	71083700	26.08	43	9
chr1	71578420	25.75	39	6
chr1	72170475	21.37	41	16
chr1	72188615	24.6366666667	35	6
chr1	72742940	16.29	28	11
chr1	72763730	24.22	94	11
chr1	72765650	26.4966666667	94	11
chr1	72901650	30.7333333333	69	11
chr1	72912580	23.6166666667	47	6
chr1	72924635	21.15	41	15
chr1	73873080	30.6033333333	69	11
chr1	73909615	16.7733333333	36	10
chr1	73948330	30.8633333333	86	19
chr1	73949130	20.4866666667	86	19
chr1	74042995	26.9033333333	65	8
chr1	74124215	24.4133333333	55	20
chr1	74129655	33.5833333333	72	20
chr1	74171865	29.2866666667	62	14
chr1	74242670	21.7433333333	72	32
chr1	74252630	23.0633333333	50	22
chr1	74360125	19.79	41	7
chr1	74437285	35.5766666667	62	11
chr1	74441410	16.4566666667	143	48
chr1	74442160	15.82	143	48
chr1	74444200	24.1666666667	143	48
chr1	74444900	15.79	143	48
chr1	74795665	22.3366666667	50	11
chr1	74806660	18.6733333333	39	6
chr1	74831150	24.5766666667	50	8
chr1	74834545	15.61	34	13
chr1	74849770	43.65	80	15
chr1	74854895	30.8733333333	101	21
chr1	74927525	23.3066666667	41	5
chr1	74940245	16.7033333333	106	32
chr1	74941635	16.2866666667	106	32
chr1	74962445	15.64	29	6
chr1	74973530	20.7066666667	45	13
chr1	74995620	30.5066666667	63	17
chr1	75011195	18.0033333333	36	10
chr1	75047250	39.4833333333	61	10
chr1	75063640	21.8966666667	38	7
chr1	75121240	17.44	40	17
chr1	75139330	20.05	46	19
chr1	75248385	37.2833333333	152	43
chr1	75249795	20.4433333333	152	43
chr1	75250955	24.21	152	43
chr1	75314630	19.0133333333	45	6
chr1	75339535	17.4233333333	38	4
chr1	75395490	23.6366666667	52	9
chr1	75442480	32.0833333333	51	14
chr1	75453555	18.0966666667	43	10
chr1	75458275	20.9566666667	46	16
chr1	75464380	24.5233333333	47	17
chr1	75474045	108.14	189	19
chr1	75492020	18.8666666667	51	15
chr1	75496200	20.88	44	12
chr1	75556290	99.6	150	19
chr1	75650380	26.5366666667	53	14
chr1	75922550	15.6766666667	33	8
chr1	77513015	18.7866666667	43	15
chr1	77969130	23.2633333333	42	5
chr1	78005585	20.29	37	5
chr1	78451375	15.2533333333	31	8
chr1	78522005	42.5133333333	80	9
chr1	78721265	23.3	39	9
chr1	81283855	15.3433333333	31	4
chr1	81313300	17.8066666667	39	6
chr1	82472985	30.72	52	4
chr1	82759055	16.06	71	26
chr1	82784130	17.6266666667	70	21
chr1	82835915	33.13	52	11
chr1	83072905	18.19	35	7
chr1	84150655	16.6766666667	30	5
chr1	84283575	24.58	35	5
chr1	84467155	19.32	38	5
chr1	84578540	21.2133333333	38	12
chr1	84693905	28.5266666667	66	16
chr1	84878045	17.13	63	12
chr1	84930280	31.8633333333	59	15
chr1	85081460	19.0833333333	42	23
chr1	85111400	51.5433333333	84	8
chr1	85258715	18.62	41	16
chr1	85277005	26.2566666667	76	58
chr1	85283760	25.5933333333	88	21
chr1	85284390	16.5566666667	88	21
chr1	85319855	46.36	85	14
chr1	87488425	18.75	202	145
chr1	87488985	55.7633333333	202	145
chr1	87489765	41.75	202	145
chr1	87521515	28.3833333333	101	56
chr1	87522125	19.19	101	56
chr1	87633205	20.85	38	15
chr1	87689885	18.7566666667	35	9
chr1	87750045	58.5466666667	104	8
chr1	87832165	16.4966666667	37	10
chr1	87918355	15.98	33	7
chr1	87956175	28.27	142	38
chr1	87960905	19.0966666667	142	38
chr1	88040945	22.13	54	22
chr1	88075605	148.866666667	247	16
chr1	88085840	22.8166666667	52	12
chr1	88110880	35.91	73	22
chr1	88207320	15.1	117	32
chr1	88268735	27.4066666667	53	13
chr1	88277815	45.81	77	11
chr1	88286050	17.7566666667	38	15
chr1	88301600	24.24	41	7
chr1	88312615	16.8966666667	53	10
chr1	88326765	19.5633333333	41	14
chr1	88337240	38.7633333333	72	13
chr1	88396765	25.5466666667	200	44
chr1	88397735	27.3366666667	200	44
chr1	88398365	34.07	200	44
chr1	88400965	18.1833333333	200	44
chr1	88406120	42.4366666667	78	12
chr1	88422095	40.7133333333	159	46
chr1	88424875	27.8633333333	159	46
chr1	88429075	22.7733333333	78	22
chr1	88435175	18.5266666667	36	2
chr1	88495320	21.5566666667	54	8
chr1	88515200	22.43	55	18
chr1	88547080	31.7266666667	50	1
chr1	88566240	30.59	95	24
chr1	88938750	28.0566666667	101	31
chr1	88967430	39.8066666667	68	21
chr1	88983770	16.1	45	14
chr1	88995385	40.2	64	24
chr1	89071045	22.79	67	19
chr1	89081490	23.8866666667	129	30
chr1	89083750	24.68	129	30
chr1	89103130	23.3733333333	44	22
chr1	89142925	38.0433333333	61	9
chr1	89315510	18.9033333333	36	7
chr1	89465220	25.2833333333	56	16
chr1	89505130	24.8466666667	59	15
chr1	89663000	22.3566666667	55	24
chr1	89721985	18.06	37	6
chr1	90042100	15.32	25	2
chr1	90144790	18.47	61	41
chr1	90174250	45.92	103	32
chr1	90181640	41.2233333333	238	95
chr1	90184370	20.8233333333	238	95
chr1	90186690	19.2	238	95
chr1	90198375	26.0033333333	70	16
chr1	90215345	17.7966666667	32	9
chr1	90254210	27.4366666667	55	17
chr1	90321420	32.2	61	9
chr1	90342160	15.2866666667	27	9
chr1	90459065	31.35	63	9
chr1	90602625	39.76	84	16
chr1	90642035	26.1366666667	83	19
chr1	90653470	22.1066666667	42	11
chr1	90954700	21.2533333333	35	11
chr1	91088280	44.62	98	16
chr1	91241280	45.7033333333	75	11
chr1	91421205	15.59	81	23
chr1	91477955	19.5633333333	41	19
chr1	91503360	21.6933333333	49	11
chr1	91530790	21.7066666667	73	26
chr1	91543425	51.0233333333	85	20
chr1	91573065	26.92	109	46
chr1	91654285	15.9366666667	52	24
chr1	91740765	26.7333333333	45	11
chr1	91837095	21.7133333333	129	27
chr1	91839975	24.56	129	27
chr1	91909755	29.3066666667	77	4
chr1	92056625	23.2566666667	53	4
chr1	92100540	15.5933333333	31	13
chr1	92169185	19.28	42	14
chr1	92172605	17.6133333333	50	19
chr1	92453935	21.18	85	17
chr1	92485105	16.0666666667	130	39
chr1	92487625	21.86	130	39
chr1	92489645	23.0533333333	130	39
chr1	92547395	23.3033333333	49	24
chr1	92803160	25.0933333333	71	21
chr1	92825260	18.7666666667	37	13
chr1	92853445	33.93	69	13
chr1	92870065	28.0333333333	50	12
chr1	93075780	20.03	53	14
chr1	93107860	17.4833333333	44	9
chr1	93148855	15.3033333333	35	13
chr1	93243645	27.5333333333	56	5
chr1	93277170	22.6933333333	47	7
chr1	93380110	19.3966666667	70	25
chr1	93420530	20.62	39	10
chr1	93431085	16.38	37	10
chr1	93651915	19.29	40	7
chr1	93715970	26.7566666667	58	17
chr1	93771490	21.1666666667	55	16
chr1	93810630	29.2166666667	54	9
chr1	94257100	29.39	64	19
chr1	94507770	16.5533333333	29	11
chr1	94544560	24.0933333333	71	12
chr1	94545520	18.4733333333	71	12
chr1	94593680	22.5933333333	55	13
chr1	94730785	17.0966666667	36	9
chr1	94737130	15.3133333333	30	11
chr1	94791795	27.9933333333	39	6
chr1	94911210	21.7133333333	52	13
chr1	94977680	30.4566666667	91	15
chr1	95025460	22.5933333333	50	11
chr1	95071185	27.35	65	16
chr1	95120785	23.2966666667	59	22
chr1	95133380	20.4066666667	92	25
chr1	95583165	20.7866666667	36	15
chr1	95623790	44.2166666667	88	18
chr1	95700400	40.6666666667	74	18
chr1	95931700	37.1433333333	67	27
chr1	95975915	23.8933333333	48	7
chr1	99968880	18.2066666667	45	8
chr1	100039355	15.7966666667	32	5
chr1	102453715	24.8166666667	41	5
chr1	105659545	23.2666666667	45	14
chr1	106882925	26.3233333333	41	7
chr1	107259455	22.51	37	12
chr1	107801500	25.4233333333	43	10
chr1	107968035	18.4633333333	41	8
chr1	108067975	19.2733333333	31	2
chr1	108292325	23.0333333333	52	9
chr1	108321930	15.35	43	11
chr1	108408410	20.4166666667	31	5
chr1	108609025	27.6166666667	51	9
chr1	108634850	16.96	44	11
chr1	109378180	15.57	28	6
chr1	113760810	15.66	31	11
chr1	114275440	42.6433333333	123	10
chr1	114276660	27.78	123	10
chr1	114352785	16.2233333333	26	1
chr1	119416420	19.7666666667	35	11
chr1	120218295	20.3633333333	67	24
chr1	120395075	26.3566666667	63	12
chr1	120426010	17.0366666667	34	5
chr1	120519570	15.7533333333	37	11
chr1	120656445	24.8333333333	45	12
chr1	120669065	37.9266666667	79	15
chr1	120950340	16.1666666667	28	5
chr1	120971655	25.6066666667	47	15
chr1	120979380	24.4866666667	182	33
chr1	120980390	21.2133333333	182	33
chr1	120984300	34.3033333333	182	33
chr1	120990525	37.4966666667	72	24
chr1	120998310	15.38	37	15
chr1	121050470	15.2766666667	28	6
chr1	121242020	16.47	31	6
chr1	121320365	19.68	89	31
chr1	121378370	20.3366666667	143	24
chr1	121381270	20.9033333333	143	24
chr1	121445485	27.3566666667	58	12
chr1	121539075	29.46	51	18
chr1	121571870	16.1466666667	26	2
chr1	121791755	24.01	49	10
chr1	121816105	19.6266666667	33	11
chr1	121909870	28.1033333333	63	17
chr1	121929785	57.38	93	15
chr1	121990215	26.9633333333	60	7
chr1	122052140	19.7266666667	44	13
chr1	122068595	19.03	37	11
chr1	122093930	34.39	58	8
chr1	122224485	20.5766666667	38	5
chr1	122234660	16.3133333333	41	8
chr1	122264995	16.99	45	13
chr1	122368045	16.7966666667	62	20
chr1	122446020	22.38	60	11
chr1	122483235	20.4	36	4
chr1	123337825	15.3	36	13
chr1	123446215	15.6233333333	34	12
chr1	123464520	29.5533333333	49	3
chr1	124336110	22.7133333333	36	9
chr1	127267490	22.78	51	13
chr1	127415835	24.6166666667	46	10
chr1	127504095	19.6466666667	39	6
chr1	127574045	16.89	34	12
chr1	127626325	20.0433333333	53	6
chr1	127686535	17.0233333333	33	8
chr1	127763520	16.3866666667	31	11
chr1	128393490	15.2366666667	26	4
chr1	128465600	24.5	38	6
chr1	128828540	26.6033333333	47	12
chr1	128890060	15.4166666667	30	6
chr1	128908680	17.1266666667	27	5
chr1	129135485	26.4933333333	56	16
chr1	129355690	19.1	45	7
chr1	129381595	22.4333333333	95	27
chr1	129393530	69.01	133	22
chr1	129397035	28.0133333333	50	4
chr1	129576535	18.0866666667	28	8
chr1	130120100	16.9333333333	31	4
chr1	130721020	19.7033333333	37	6
chr1	130729290	24.8833333333	44	4
chr1	132359135	29.2633333333	50	7
chr1	132530780	17.5733333333	28	2
chr1	132771910	19.62	71	21
chr1	132950010	16.44	39	12
chr1	133012675	24.5666666667	55	17
chr1	133052190	24.4733333333	39	5
chr1	133166930	21.8333333333	56	14
chr1	133187395	22.55	41	10
chr1	133510050	15.3633333333	36	4
chr1	133554865	28.0366666667	51	10
chr1	133609140	15.9166666667	32	16
chr1	133662330	36.2466666667	61	12
chr1	133743055	20.1933333333	46	12
chr1	133763835	32.3233333333	50	13
chr1	133779545	16.9866666667	40	7
chr1	133834460	26.0733333333	54	20
chr1	133878365	24.4133333333	106	25
chr1	133879745	29.9	106	25
chr1	133943160	37.1366666667	69	13
chr1	134013350	26.4433333333	59	14
chr1	134017960	16.2333333333	51	12
chr1	134036920	20.2966666667	76	21
chr1	134052505	15.5166666667	110	20
chr1	134054145	45.53	110	20
chr1	134062565	16.4033333333	35	10
chr1	134107745	26.7066666667	127	34
chr1	134108815	39.2433333333	127	34
chr1	134134380	18.7866666667	40	8
chr1	134157820	15.4333333333	35	7
chr1	134189600	21.27	52	23
chr1	134202975	19.44	43	11
chr1	134209330	21.36	48	13
chr1	134228085	25.2366666667	75	28
chr1	134252535	28.59	45	9
chr1	134264345	28.38	49	11
chr1	134420740	31.83	182	67
chr1	134422640	16.3133333333	182	67
chr1	134491395	28.6666666667	69	24
chr1	134505925	45.9433333333	112	21
chr1	134655435	42.1466666667	94	12
chr1	134831705	17.4133333333	42	8
chr1	134865445	30.0166666667	73	13
chr1	134879475	28.1933333333	54	9
chr1	134936260	24.26	43	6
chr1	134984410	29.8033333333	74	23
chr1	134998095	18.0866666667	55	14
chr1	135042805	20.43	34	8
chr1	135074230	36.7133333333	69	18
chr1	135077735	32.1366666667	55	12
chr1	135162105	17.71	45	11
chr1	135203565	20.0766666667	56	10
chr1	135208060	19.0666666667	40	14
chr1	135211085	20.8133333333	36	12
chr1	135244585	16.1833333333	46	21
chr1	135250325	48.0633333333	90	17
chr1	135278815	24.2833333333	72	23
chr1	135282270	23.0366666667	53	18
chr1	135507030	27.78	50	19
chr1	135510585	18.4666666667	30	1
chr1	135613300	39.3	82	20
chr1	135633005	40.04	79	24
chr1	135808210	24	82	16
chr1	135942665	16.7466666667	94	37
chr1	135945535	18.5166666667	94	37
chr1	135949955	27.9666666667	51	11
chr1	136016995	35.2666666667	85	14
chr1	136048440	28.0366666667	124	41
chr1	136051510	18.1433333333	124	41
chr1	136084025	16.5033333333	43	13
chr1	136093165	22.2833333333	48	25
chr1	136098785	22.6633333333	47	16
chr1	136140915	31.2766666667	71	33
chr1	136178340	24.13	42	9
chr1	136187695	41.7266666667	78	20
chr1	136228645	25.2033333333	55	16
chr1	136415430	22.0266666667	34	7
chr1	136421100	17.04	36	14
chr1	136538315	23.31	56	15
chr1	136601625	59.23	111	19
chr1	136632585	17.7866666667	37	12
chr1	136638240	22.26	151	54
chr1	136642370	22.1466666667	151	54
chr1	136751115	19.6366666667	34	7
chr1	136886125	27.3433333333	45	7
chr1	137002745	30.7566666667	316	82
chr1	137005415	34.8133333333	316	82
chr1	137006815	42.26	316	82
chr1	137009395	36.67	316	82
chr1	137029205	16.35	85	33
chr1	137033280	46.05	84	20
chr1	137051155	41.4833333333	71	10
chr1	137068710	20.0133333333	39	9
chr1	137126980	27.01	51	22
chr1	137146500	15.5466666667	38	11
chr1	137155795	26.7766666667	64	13
chr1	137264995	26.0933333333	52	16
chr1	137437080	19.0533333333	49	12
chr1	137441425	18.6633333333	35	10
chr1	137465050	16.8533333333	31	7
chr1	137567235	38.2733333333	103	16
chr1	137568125	18.2666666667	103	16
chr1	137572540	30.2166666667	51	12
chr1	137594250	16.6733333333	123	36
chr1	137596040	20.3566666667	123	36
chr1	137597440	26.3066666667	123	36
chr1	137616160	15.1433333333	28	7
chr1	137649660	86.9033333333	131	10
chr1	137677975	29.26	49	6
chr1	137686550	31.3566666667	80	18
chr1	137707925	33.26	67	11
chr1	137743905	40.0933333333	89	28
chr1	137762310	30.9033333333	76	16
chr1	137779510	20.3733333333	47	16
chr1	137841480	19.1866666667	91	15
chr1	137842330	25.75	91	15
chr1	137855290	16.1533333333	46	9
chr1	137942585	19.9866666667	41	8
chr1	137948215	25.4333333333	48	12
chr1	138012900	15.6733333333	39	11
chr1	138056590	18.1066666667	48	10
chr1	138066940	22.9333333333	43	7
chr1	138071915	22.93	72	6
chr1	138421645	21.8233333333	78	14
chr1	138423905	21.79	78	14
chr1	138433715	21.3366666667	42	10
chr1	138447670	28.88	57	10
chr1	138461705	16.8966666667	31	9
chr1	138645870	19.64	50	9
chr1	138655470	28.5633333333	63	3
chr1	139123375	20.5333333333	67	4
chr1	140016695	15.73	28	10
chr1	140455150	15.3466666667	30	3
chr1	140649125	15.1533333333	31	7
chr1	141276080	25.1633333333	45	27
chr1	141318605	18.8966666667	33	10
chr1	142428280	15.0033333333	31	9
chr1	145624350	18.0366666667	39	6
chr1	145661270	29.4133333333	59	8
chr1	146045055	15.51	39	10
chr1	146253960	24.8266666667	38	5
chr1	151704015	22.96	38	4
chr1	152240155	18.5833333333	38	9
chr1	152438685	17.7166666667	34	9
chr1	152840990	21.47	44	7
chr1	153308470	15.65	28	7
chr1	153344290	22.3466666667	38	6
chr1	153411695	18.4	32	10
chr1	153553335	28.0533333333	58	19
chr1	153614455	18.7933333333	36	9
chr1	153693565	17.7633333333	40	13
chr1	153708705	26.3433333333	50	11
chr1	154138250	15.51	34	10
chr1	154160740	38.4566666667	67	5
chr1	154358565	57.3	97	18
chr1	154368220	21.3133333333	43	19
chr1	154372315	23.4133333333	53	18
chr1	154593890	15.46	31	6
chr1	154615495	17.8666666667	32	6
chr1	154626415	21.8933333333	42	11
chr1	154637560	33.5166666667	65	18
chr1	154939505	16.6666666667	34	7
chr1	154948755	16.8866666667	35	3
chr1	155179335	17.97	40	8
chr1	155234050	25.0066666667	42	5
chr1	155249100	27.4733333333	45	4
chr1	155298525	18.2966666667	34	7
chr1	155398140	15.0533333333	28	5
chr1	155404265	25.3366666667	96	26
chr1	155406625	18.47	96	26
chr1	155589845	16.4	36	13
chr1	155594040	16.57	85	22
chr1	155596520	25.9366666667	85	22
chr1	155654665	15.8133333333	29	7
chr1	155694235	18.4066666667	33	4
chr1	155716685	15.86	31	2
chr1	155924040	17.9366666667	31	3
chr1	156028275	19.4366666667	69	23
chr1	156128730	31.0433333333	55	7
chr1	156576945	17.6133333333	44	12
chr1	156633510	31.2133333333	106	26
chr1	156644065	19.8433333333	82	27
chr1	156853875	58.57	97	8
chr1	156873135	16.9466666667	32	4
chr1	156896315	26.3066666667	45	11
chr1	157065415	26.7533333333	51	9
chr1	157071480	50.4233333333	101	30
chr1	157128765	32.86	53	16
chr1	157363875	15.4466666667	23	4
chr1	157412065	22.3433333333	40	6
chr1	157883700	20.3266666667	37	16
chr1	157890385	15.33	29	3
chr1	157933090	22.91	37	10
chr1	157958420	24.2233333333	62	20
chr1	158159725	23.04	45	7
chr1	158171350	22.7133333333	72	7
chr1	158172110	19.59	72	7
chr1	158193665	19.6566666667	43	11
chr1	158561405	22.47	44	9
chr1	158606495	25.21	39	2
chr1	158672195	35.3833333333	70	10
chr1	158682595	18.32	34	4
chr1	158694975	17.0433333333	43	16
chr1	158792075	18.39	37	11
chr1	159006640	33.2166666667	287	64
chr1	159007400	56.03	287	64
chr1	159009650	44.04	287	64
chr1	159012310	16.0133333333	287	64
chr1	159016430	25.9533333333	50	11
chr1	159388565	33.9633333333	57	10
chr1	159395520	15.4033333333	34	6
chr1	159431010	18.5366666667	58	29
chr1	159483365	23.7166666667	41	13
chr1	159488385	15.82	95	22
chr1	159490955	33.3133333333	95	22
chr1	160527475	23.74	71	15
chr1	160600480	17.44	31	10
chr1	160883875	23.7233333333	50	11
chr1	161065635	16.0366666667	25	1
chr1	161320370	15.43	37	6
chr1	161326855	16.5033333333	50	7
chr1	161992295	15.3166666667	23	1
chr1	162125180	17.7566666667	37	8
chr1	162143360	28.7233333333	52	8
chr1	162864375	24.1133333333	52	9
chr1	163110975	18.0733333333	29	7
chr1	163125765	23.4166666667	46	15
chr1	163144850	19.97	33	6
chr1	163678420	19.6666666667	47	10
chr1	163899210	21.5066666667	38	7
chr1	163906725	29.47	53	7
chr1	164461870	15.1766666667	42	8
chr1	164576580	18.7966666667	39	13
chr1	164595375	16.5633333333	42	8
chr1	165080735	24.75	41	7
chr1	165709625	38.9233333333	63	10
chr1	166069035	37.29	72	14
chr1	166245530	27.7733333333	108	28
chr1	166246990	33.4833333333	108	28
chr1	166296980	31.7433333333	57	7
chr1	166835365	27.19	55	11
chr1	166929835	23.58	41	11
chr1	167050700	16.0633333333	36	14
chr1	167062830	19.49	37	5
chr1	167220180	26.7533333333	54	15
chr1	167250880	32.6833333333	62	15
chr1	167513840	21.51	37	7
chr1	167585310	17.1133333333	37	14
chr1	167588875	25.2933333333	107	34
chr1	167591015	16.2366666667	107	34
chr1	167666470	27.3233333333	47	6
chr1	167701865	38.8233333333	70	10
chr1	167705775	18.7066666667	46	13
chr1	167710905	20.18	59	7
chr1	167784045	27.4033333333	59	25
chr1	168033580	23.25	44	19
chr1	168083670	25.8533333333	97	11
chr1	168084520	24.1733333333	97	11
