P32234 	 FBgn0010339
P91926 	 FBgn0264855
Q9V831 	 FBgn0034231
Q24238 	 FBgn0016123
Q9VQG2 	 FBgn0031458
A1Z9X0 	 FBgn0261854
Q9W0K0 	 FBgn0040281
Q9VTE9 	 FBgn0261112
P14599 	 FBgn0000108
P12426 	 FBgn0000109
Q24248 	 FBgn0015904
Q9VA73 	 FBgn0028646
P40946 	 FBgn0013750
P61209 	 FBgn0010348
P40945 	 FBgn0013749
P48610 	 FBgn0000116
Q94981 	 FBgn0017418
O76924 	 FBgn0025186
P25160 	 FBgn0000115
Q06849 	 FBgn0004908
P18824 	 FBgn0000117
Q6J5K9 	 FBgn0041164
P45889 	 FBgn0011745
P45888 	 FBgn0011742
P32392 	 FBgn0262716
Q9VEC3 	 FBgn0038576
P45890 	 FBgn0011741
Q9VX09 	 FBgn0030877
P45891 	 FBgn0011743
Q9VIM5 	 FBgn0032859
P15372 	 FBgn0000120
P19107 	 FBgn0000121
Q9V9K7 	 FBgn0033062
Q9VH48 	 FBgn0037770
Q9W1V1 	 FBgn0034817
Q8SWX0 	 FBgn0036826
P09775 	 FBgn0000137
Q9V464 	 FBgn0029094
Q9VW15 	 FBgn0005386
Q94545 	 FBgn0000139
Q9VC45 	 FBgn0000140
Q9W1X9 	 FBgn0034793
Q9VPW1 	 FBgn0015905
Q9VC44 	 FBgn0015591
Q9VEX5 	 FBgn0020407
Q9V727 	 FBgn0261823
Q86P48 	 FBgn0039946
O96539 	 FBgn0025720
Q9XZS8 	 FBgn0028550
Q9W3R7 	 FBgn0029943
Q9VCE1 	 FBgn0264325
Q9VTU1 	 FBgn0036255
Q9VHR6 	 FBgn0261108
Q9VC57 	 FBgn0039213
P48987 	 FBgn0010433
P13607 	 FBgn0002921
Q94516 	 FBgn0019644
Q05825 	 FBgn0010217
Q24407 	 FBgn0016119
Q24251 	 FBgn0016120
O01666 	 FBgn0020235
Q24439 	 FBgn0016691
P45884 	 FBgn0012042
Q9V751 	 FBgn0041581
Q95NH6 	 FBgn0041579
Q94546 	 FBgn0019637
Q8SWR8 	 FBgn0041188
O76922 	 FBgn0000146
Q8ML92 	 FBgn0050476
P08879 	 FBgn0000150
Q8IRC7 	 FBgn0013751
Q9V407 	 FBgn0026597
P26686 	 FBgn0004587
Q9W0K7 	 FBgn0004870
Q9W0K4 	 FBgn0025525
Q9VLU0 	 FBgn0031977
Q8SXY6 	 FBgn0045866
Q7KRY6 	 FBgn0027889
P22745 	 FBgn0000158
P22809 	 FBgn0004862
Q9VYG2 	 FBgn0025463
M9NDE3 	 FBgn0031571
A1Z8E9 	 FBgn0033578
P09081 	 FBgn0000166
O46098 	 FBgn0013432
Q9U4G1 	 FBgn0028482
Q8T3L6 	 FBgn0036691
Q9VHP0 	 FBgn0263231
P35128 	 FBgn0000173
P45437 	 FBgn0008635
O62621 	 FBgn0025724
Q9VCA5 	 FBgn0039175
Q00963 	 FBgn0250788
P35004 	 FBgn0010357
Q24560 	 FBgn0003887
P08841 	 FBgn0003888
P61857 	 FBgn0003889
Q24040 	 FBgn0013753
Q9W1I2 	 FBgn0004581
Q9V3S9 	 FBgn0027348
Q24255 	 FBgn0011758
Q24256 	 FBgn0004854
Q24432 	 FBgn0000179
Q9VSH3 	 FBgn0035871
P23645 	 FBgn0000180
Q24009 	 FBgn0000182
P16568 	 FBgn0000183
Q9VS05 	 FBgn0045759
Q9VEX9 	 FBgn0024491
Q7K480 	 FBgn0263144
Q9VGI8 	 FBgn0002906
A1Z9S1 	 FBgn0050077
Q9VTE0 	 FBgn0036118
A8JNV4 	 FBgn0085284
Q9VTC2 	 FBgn0036105
Q9VF08 	 FBgn0038387
P35381 	 FBgn0011211
P29746 	 FBgn0001090
P40794 	 FBgn0004389
Q8T9B6 	 FBgn0004132
Q709R6 	 FBgn0037719
Q24207 	 FBgn0011206
Q8WTC1 	 FBgn0026261
Q9VVR2 	 FBgn0259791
Q9VLD6 	 FBgn0032105
P22815 	 FBgn0000206
Q9XZ08 	 FBgn0027535
Q9VQU9 	 FBgn0004893
Q9VNP5 	 FBgn0037205
Q01295 	 FBgn0283451
Q24206 	 Q24206missing
Q8MQJ9 	 FBgn0010300
Q9W157 	 FBgn0050169
Q9VRP9 	 FBgn0086694
P25439 	 FBgn0000212
Q24157 	 FBgn0000221
Q24039 	 FBgn0013755
Q9VIL0 	 FBgn0261787
Q24535 	 FBgn0004101
Q9VR17 	 FBgn0000227
P11929 	 FBgn0000228
Q04787 	 FBgn0000529
P92208 	 FBgn0000229
Q95SX7 	 FBgn0044506
Q24266 	 FBgn0000233
Q9VYB0 	 FBgn0030501
P08630 	 FBgn0003502
Q09147 	 FBgn0005592
Q9VKV8 	 FBgn0032248
Q24522 	 FBgn0259176
Q24523 	 Q24523missing
Q9VD83 	 FBgn0038901
P12428 	 FBgn0000241
Q9VIP7 	 FBgn0045064
P39736 	 FBgn0004856
P55965 	 FBgn0011723
P51406 	 FBgn0010292
Q7K237 	 FBgn0032078
O77086 	 FBgn0259228
Q9V3B6 	 FBgn0040235
Q24270 	 FBgn0001991
P91645 	 FBgn0263111
Q03017 	 FBgn0000250
Q9VR99 	 FBgn0031114
P09085 	 FBgn0000251
Q9VGW1 	 FBgn0261053
Q9VGG5 	 FBgn0037963
Q9VEU1 	 FBgn0038439
Q9VBW3 	 FBgn0022800
O15943 	 FBgn0015609
Q9VJB6 	 FBgn0262018
Q9NHE5 	 FBgn0053653
Q24572 	 FBgn0263979
Q11002 	 FBgn0012051
Q9VT65 	 FBgn0025866
Q9VXH6 	 FBgn0260450
Q9V498 	 FBgn0039928
Q7K5N4 	 FBgn0262166
P62152 	 FBgn0000253
Q00168 	 FBgn0264607
P48456 	 FBgn0010015
Q9VXF1 	 FBgn0267912
P48451 	 FBgn0010014
Q24214 	 FBgn0015614
Q9VKY2 	 FBgn0027568
P22700 	 FBgn0263006
Q9NIP6 	 FBgn0039722
Q8ITC7 	 FBgn0037100
Q9I7D3 	 FBgn0042134
Q24120 	 FBgn0000256
Q9Y1I2 	 FBgn0000257
Q7M3M8 	 FBgn0004878
Q9XZU1 	 FBgn0022213
Q24210 	 FBgn0013759
P17336 	 FBgn0000261
Q9V3A4 	 FBgn0002022
P54269 	 FBgn0015919
Q95RV2 	 FBgn0026257
Q27294 	 FBgn0011571
Q7K284 	 FBgn0033842
Q9V3L6 	 FBgn0022943
P41044 	 FBgn0004580
Q7K4N3 	 FBgn0022942
Q7K4V4 	 FBgn0011241
Q9VCW0 	 FBgn0039007
Q868T3 	 FBgn0039396
Q9VLT8 	 FBgn0031979
P0DKM0 	 FBgn0261353
Q4V4I9 	 FBgn0038199
A1ZAX0 	 FBgn0050106
Q8SXL2 	 FBgn0038147
Q4V622 	 FBgn0033058
P48605 	 FBgn0015019
Q9VA70 	 FBgn0039774
Q24276 	 FBgn0011573
P40793 	 FBgn0010341
Q9VIS1 	 FBgn0032821
P23572 	 FBgn0004106
P23573 	 FBgn0004107
P48609 	 FBgn0013762
Q9VT57 	 FBgn0015618
Q9VP22 	 FBgn0037093
O96860 	 FBgn0026141
P56079 	 FBgn0010350
P14954 	 FBgn0000276
P14954 	 FBgn0000277
P14956 	 FBgn0000278
O16829 	 FBgn0000279
Q7JUY7 	 FBgn0029092
Q9NGC3 	 FBgn0028509
Q7JVA5 	 FBgn0266708
P20385 	 FBgn0000286
Q9W352 	 FBgn0030121
P08120 	 FBgn0000299
P07668 	 FBgn0000303
Q9NBD7 	 FBgn0021760
P29742 	 FBgn0000319
Q7KU24 	 FBgn0250786
O16102 	 FBgn0023395
Q9VQS5 	 FBgn0031550
Q9VEN1 	 FBgn0014141
P25843 	 FBgn0000308
Q9XTN2 	 FBgn0024248
Q9NK54 	 FBgn0000307
Q7YU81 	 FBgn0015371
Q9VCC0 	 FBgn0029503
P12024 	 FBgn0267435
Q9VTI8 	 FBgn0036165
Q9W092 	 FBgn0022702
Q9W5U2 	 FBgn0250907
P19538 	 FBgn0004859
Q9VAI1 	 FBgn0039689
Q7K1Y4 	 FBgn0033972
Q9V3Y2 	 FBgn0001977
Q9U1H0 	 FBgn0262582
Q9V6Q2 	 FBgn0040477
P39205 	 FBgn0000316
A1Z7G7 	 FBgn0033313
Q9VAM6 	 FBgn0062442
Q9V3Z6 	 FBgn0000317
P54367 	 FBgn0015024
P08181 	 FBgn0264492
P08182 	 FBgn0000259
O96863 	 FBgn0026136
Q24152 	 FBgn0010314
Q8IRB5 	 FBgn0052251
Q9VBX1 	 FBgn0259152
Q9VWA1 	 FBgn0024814
Q9VGH7 	 FBgn0051116
Q9VJE5 	 FBgn0020503
O61735 	 FBgn0023076
Q9VPT8 	 FBgn0015621
Q8MZC4 	 FBgn0039360
A1ZAB5 	 FBgn0034087
A1Z746 	 FBgn0000337
P20482 	 FBgn0262975
Q24278 	 FBgn0261612
P49858 	 FBgn0000339
Q9W197 	 FBgn0034988
P54623 	 FBgn0013765
Q961G1 	 FBgn0031536
Q9VAD6 	 FBgn0051040
A1Z7A8 	 FBgn0033265
Q9VQG4 	 FBgn0019830
Q24139 	 FBgn0010105
P46461 	 FBgn0000346
Q01819 	 FBgn0005775
Q9VN14 	 FBgn0037240
P04146 	 FBgn0013437
Q9V3D2 	 FBgn0021944
Q9VHS7 	 FBgn0037574
Q9V8R9 	 FBgn0010434
Q59E36 	 FBgn0261573
Q960N3 	 FBgn0000351
P41046 	 FBgn0010313
O16844 	 FBgn0000352
Q94514 	 FBgn0019624
Q9VHS2 	 FBgn0040529
Q95029 	 FBgn0013770
P07185 	 FBgn0000355
P22977 	 FBgn0000356
P07184 	 FBgn0000357
P07186 	 FBgn0000358
P07182 	 FBgn0000359
P07183 	 FBgn0000360
Q24478 	 FBgn0000283
Q9W2N0 	 FBgn0034577
P48603 	 FBgn0011570
Q02910 	 FBgn0261714
Q01617 	 FBgn0263995
Q27597 	 FBgn0015623
Q7JZV0 	 FBgn0086519
Q9VE51 	 FBgn0261065
Q9V3D6 	 FBgn0027873
Q9V726 	 FBgn0024698
Q8IPM8 	 FBgn0041605
P10040 	 FBgn0259685
P29413 	 FBgn0005585
P29747 	 FBgn0004396
Q9VWW0 	 FBgn0265784
Q9XYM0 	 FBgn0024811
O76906 	 FBgn0000376
P17886 	 FBgn0000377
P32027 	 FBgn0014143
Q27367 	 FBgn0015924
O77059 	 FBgn0025680
Q26377 	 FBgn0013767
Q9VVU5 	 FBgn0027057
Q8SYG2 	 FBgn0027055
Q9V345 	 FBgn0027054
Q9XZ58 	 FBgn0027053
Q9VCY3 	 FBgn0028837
Q9V4S8 	 FBgn0028836
Q7KTH8 	 FBgn0261437
Q03751 	 FBgn0004179
Q9U6Y9 	 FBgn0015925
P29349 	 FBgn0000382
P10180 	 FBgn0004198
P25157 	 FBgn0000384
O46036 	 FBgn0020496
Q24117 	 FBgn0011760
Q9VUL1 	 FBgn0266452
Q9W332 	 FBgn0052702
Q95RU0 	 FBgn0011204
Q9V629 	 FBgn0260932
Q24311 	 FBgn0015509
Q9VMA3 	 FBgn0000392
O61734 	 FBgn0023094
P14785 	 FBgn0000404
P20439 	 FBgn0000405
Q9I7I0 	 FBgn0015625
P25008 	 FBgn0004597
P54733 	 FBgn0010382
Q95TJ9 	 FBgn0039858
O96433 	 FBgn0025455
P25007 	 FBgn0004432
Q9V7G5 	 FBgn0034053
Q9VMS9 	 FBgn0031693
Q9VMS8 	 FBgn0031694
Q9VMS7 	 FBgn0031695
Q9V4T3 	 FBgn0033292
O46054 	 FBgn0015036
Q9VA27 	 FBgn0015032
P33269 	 FBgn0005670
Q27589 	 FBgn0011576
Q9VS79 	 FBgn0015033
O46051 	 FBgn0023541
Q9W011 	 FBgn0035344
Q9VLZ7 	 FBgn0031925
Q9V4T5 	 FBgn0015034
Q27606 	 FBgn0014469
Q9VL92 	 FBgn0015035
Q9V3S0 	 FBgn0010019
Q9VYY4 	 FBgn0030304
Q9V558 	 FBgn0015037
Q9V557 	 FBgn0033395
Q9V559 	 FBgn0033397
Q9VXY0 	 FBgn0030615
P33270 	 FBgn0000473
Q27593 	 FBgn0013772
Q27594 	 FBgn0013771
Q9V4U9 	 FBgn0033304
Q9V4U7 	 FBgn0033302
Q9V770 	 FBgn0015714
Q9VB31 	 FBgn0039519
P82711 	 FBgn0033979
Q9V773 	 FBgn0033980
Q9V774 	 FBgn0033981
Q9V769 	 FBgn0013773
Q9V771 	 FBgn0033978
Q9W223 	 FBgn0034756
Q9VCW1 	 FBgn0039006
Q9VFP1 	 FBgn0038194
Q9V674 	 FBgn0025454
Q9V675 	 FBgn0033696
Q9VRI9 	 FBgn0031182
Q9V676 	 FBgn0033697
Q9V979 	 FBgn0033121
Q9VRB3 	 FBgn0031126
Q9V9L1 	 FBgn0033065
Q9V4I0 	 FBgn0015038
Q9V4I1 	 FBgn0015039
Q9W130 	 FBgn0015040
Q9VG82 	 FBgn0038037
Q9V6H1 	 FBgn0033775
Q9VE00 	 FBgn0038681
Q9VE01 	 FBgn0038680
Q9V8M2 	 FBgn0034387
Q9VVR9 	 FBgn0036806
Q7KR10 	 FBgn0053503
P82712 	 FBgn0050489
Q9VGZ0 	 FBgn0037817
Q95078 	 FBgn0010383
Q9V419 	 FBgn0028940
Q9VYT8 	 FBgn0030339
Q9VMT5 	 FBgn0031689
Q9VMT6 	 FBgn0031688
Q9V3G3 	 FBgn0028382
Q9V5L3 	 FBgn0033524
Q9V6D6 	 FBgn0033753
Q9V399 	 FBgn0001992
Q9VG17 	 FBgn0038095
Q9VW43 	 FBgn0036910
Q9VWR2 	 FBgn0030949
Q9VQD2 	 FBgn0031432
P82713 	 FBgn0041337
Q9VJ71 	 FBgn0032693
Q9VYQ7 	 FBgn0030367
Q9VVN6 	 FBgn0036778
Q9VFJ0 	 FBgn0038236
Q9VGB4 	 FBgn0038006
Q9VGB3 	 FBgn0038007
Q9VG40 	 FBgn0038076
Q9VGB5 	 FBgn0038005
Q9VHP4 	 FBgn0037601
Q9VS78 	 FBgn0035790
Q9V776 	 FBgn0033982
Q9VYQ5 	 FBgn0030369
P23779 	 FBgn0004629
Q9V4N3 	 FBgn0264294
P19967 	 FBgn0000406
P04657 	 FBgn0086907
P84029 	 FBgn0000409
Q24533 	 FBgn0000411
P22058 	 FBgn0000412
P11420 	 FBgn0267821
P98081 	 FBgn0000414
Q24114 	 FBgn0263930
Q9VBW6 	 FBgn0039286
Q9VBW9 	 FBgn0039283
Q9VZN4 	 FBgn0263239
Q9V3T9 	 FBgn0015582
Q94521 	 FBgn0019643
Q7K4Y6 	 FBgn0034136
Q9VPU8 	 FBgn0020305
P42281 	 FBgn0010387
Q9VUU5 	 FBgn0040230
Q07886 	 FBgn0010220
P26802 	 FBgn0004556
O61305 	 FBgn0024804
O76324 	 FBgn0002413
O02002 	 FBgn0010501
Q9VCU9 	 FBgn0039016
Q7K2D2 	 FBgn0021825
Q9VUI3 	 FBgn0259099
Q9VRG7 	 FBgn0029067
P05031 	 FBgn0000422
Q9VNV3 	 FBgn0015075
Q24180 	 FBgn0013799
P18169 	 FBgn0000427
P18170 	 P18170missing
P18171 	 P18171missing
P36192 	 FBgn0010385
Q9VIF5 	 FBgn0086251
P42276 	 FBgn0010358
Q9VX98 	 FBgn0030802
Q9VQ57 	 FBgn0267972
P07548 	 FBgn0000439
Q01583 	 FBgn0085390
Q9VLK4 	 FBgn0032048
P37276 	 FBgn0261797
P47938 	 FBgn0011761
P17719 	 FBgn0004087
P32748 	 FBgn0000447
P48608 	 FBgn0011202
Q24306 	 FBgn0260635
Q24307 	 FBgn0015247
Q9NGX9 	 FBgn0000449
Q9VAK8 	 FBgn0039666
P98149 	 FBgn0011274
A1Z7Z9 	 FBgn0033447
B6VQA1 	 FBgn0023091
Q9W0S9 	 FBgn0024806
P23792 	 FBgn0000459
Q9VNJ5 	 FBgn0029088
O01352 	 FBgn0019828
P10041 	 FBgn0000463
P15330 	 FBgn0260632
Q94524 	 FBgn0024432
P31007 	 FBgn0001624
P20009 	 FBgn0000157
Q8T626 	 FBgn0024510
Q9W4S7 	 FBgn0262656
P61849 	 FBgn0011581
Q9VH89 	 FBgn0278604
Q24133 	 FBgn0263106
P92029 	 FBgn0260775
Q9W1H4 	 FBgn0262619
Q24317 	 FBgn0011762
Q9VPH2 	 FBgn0259676
Q9VB62 	 FBgn0005696
P26019 	 FBgn0259113
P54358 	 FBgn0263600
Q9W4T4 	 FBgn0000479
P12252 	 P12252missing
Q9W4S9 	 Q9W4S9missing
Q8IRU4 	 Q8IRU4missing
Q9XZT6 	 FBgn0022338
Q9V422 	 FBgn0024245
P49762 	 FBgn0265998
P54353 	 FBgn0015379
Q9NDJ2 	 FBgn0020306
Q9VWE0 	 FBgn0043903
P41596 	 FBgn0011582
Q24563 	 FBgn0266137
Q8IS44 	 FBgn0053517
Q24314 	 FBgn0000482
Q9VZZ9 	 FBgn0016794
Q24318 	 FBgn0011763
Q26454 	 FBgn0015929
Q26263 	 FBgn0010109
P07713 	 FBgn0000490
Q9VHR8 	 FBgn0037580
P24492 	 FBgn0004240
Q9VKQ9 	 FBgn0032293
Q03372 	 FBgn0000492
Q0KHT7 	 FBgn0052666
Q8IRG6 	 FBgn0002183
Q8IRY7 	 FBgn0020381
O01382 	 FBgn0019972
Q9V5Z7 	 FBgn0015872
Q08012 	 FBgn0004638
Q27324 	 FBgn0015380
Q9VQS6 	 FBgn0024244
P36193 	 FBgn0010388
Q9XYF4 	 FBgn0026404
P41964 	 FBgn0283461
Q24292 	 FBgn0000497
Q9VS29 	 FBgn0265296
P51140 	 FBgn0000499
P09040 	 FBgn0000500
Q24324 	 FBgn0010269
Q24537 	 FBgn0278608
P23023 	 FBgn0000504
Q8INT5 	 FBgn0023090
Q9VQH2 	 FBgn0283531
P81160 	 FBgn0250832
Q23985 	 FBgn0000524
Q9V3D5 	 FBgn0016930
P83102 	 FBgn0027101
Q9VDW6 	 FBgn0260003
Q9VDW3 	 Q9VDW3missing
Q0KI50 	 Q0KI50missing
Q7YU29 	 Q7YU29missing
Q9VVT5 	 FBgn0036819
Q27368 	 FBgn0011766
O77051 	 FBgn0024371
P13582 	 FBgn0000533
Q7JRJ1 	 FBgn0033166
Q02280 	 FBgn0000535
P54352 	 FBgn0000536
Q95RJ9 	 FBgn0263933
Q9U6L5 	 FBgn0004181
Q23982 	 FBgn0011694
Q9W1C9 	 FBgn0011695
Q9W0T1 	 FBgn0000541
Q9I7K5 	 FBgn0069242
Q9W032 	 FBgn0000543
Q9VS50 	 FBgn0035766
P34021 	 FBgn0000546
Q9U6M0 	 FBgn0028436
Q6IDD9 	 FBgn0262579
Q9VVI2 	 FBgn0036735
P27779 	 FBgn0000551
P27780 	 FBgn0000552
P27781 	 FBgn0004554
Q9VL18 	 FBgn0032198
P08736 	 FBgn0000556
P05303 	 FBgn0000557
O96827 	 FBgn0028737
Q9NJH0 	 FBgn0029176
P13060 	 FBgn0000559
P25867 	 FBgn0011217
Q9VCX4 	 FBgn0051159
Q9W429 	 FBgn0029849
P15370 	 FBgn0000560
P04412 	 FBgn0003731
Q32KD2 	 FBgn0086908
O01346 	 FBgn0001404
Q8MUJ1 	 FBgn0033483
Q07892 	 FBgn0000564
Q9W4X7 	 FBgn0029629
Q9VDM6 	 FBgn0038796
A1ZAX1 	 FBgn0034258
Q0E940 	 FBgn0034237
Q9VN25 	 FBgn0037249
Q9VHS8 	 FBgn0037573
Q9VXK6 	 FBgn0030719
P56538 	 FBgn0034915
P41374 	 FBgn0261609
P41375 	 FBgn0004926
Q24208 	 FBgn0263740
Q9U9Q4 	 FBgn0022023
Q9VCK0 	 FBgn0040227
Q02748 	 FBgn0001942
P48598 	 FBgn0015218
Q9GU68 	 FBgn0034967
P48593 	 FBgn0004910
P08761 	 FBgn0000565
P20105 	 FBgn0000567
P11536 	 P11536missing
P17672 	 FBgn0000568
P13055 	 P13055missing
P17671 	 P17671missing
P45447 	 FBgn0004865
P16914 	 FBgn0260400
Q9VJS8 	 FBgn0004858
Q9VQD6 	 FBgn0031435
Q9VR19 	 FBgn0031621
Q9VCP0 	 FBgn0039066
Q9VGK7 	 FBgn0037926
Q7K4B3 	 FBgn0033540
Q9VQZ6 	 FBgn0031604
Q9TVM2 	 FBgn0020497
P18491 	 FBgn0000575
Q9W1Y1 	 FBgn0034791
P18488 	 FBgn0000576
P02836 	 FBgn0000577
Q8T4F7 	 FBgn0000578
Q8MSX1 	 FBgn0004875
Q8T390 	 FBgn0038659
P15007 	 FBgn0000579
Q9VQB7 	 FBgn0264672
P35005 	 FBgn0010425
Q24337 	 FBgn0011586
Q9VPH7 	 FBgn0036974
Q9V3A6 	 FBgn0261274
O44424 	 FBgn0023506
Q24338 	 FBgn0000588
P25932 	 FBgn0001981
Q9U1I1 	 FBgn0263934
P13098 	 FBgn0000591
Q01068 	 FBgn0002609
P13096 	 FBgn0002631
Q01069 	 FBgn0002733
P08171 	 FBgn0000592
P18167 	 FBgn0000594
P42279 	 FBgn0011554
Q9VL72 	 FBgn0032157
P29776 	 FBgn0005660
P29774 	 FBgn0005658
Q04688 	 FBgn0004510
P29775 	 FBgn0005659
P06602 	 FBgn0000606
Q9VYY9 	 FBgn0262740
Q24312 	 FBgn0005427
Q07436 	 FBgn0004583
P40427 	 FBgn0000611
Q9VSJ8 	 FBgn0266667
Q9Y169 	 FBgn0029175
P28750 	 FBgn0000615
O18381 	 FBgn0005558
Q27272 	 FBgn0000617
Q9VYX1 	 FBgn0000618
Q9VI60 	 FBgn0040670
Q9VWF2 	 FBgn0087008
Q05201 	 FBgn0000320
A0A1F4 	 FBgn0031414
P42124 	 FBgn0000629
O96838 	 FBgn0028741
Q9V3B4 	 FBgn0038928
P55824 	 FBgn0005632
P10674 	 FBgn0262742
P34082 	 FBgn0000635
P15278 	 FBgn0000636
Q9VGX3 	 FBgn0020439
Q95RI5 	 FBgn0014163
Q04691 	 FBgn0000639
P54398 	 FBgn0000640
P11450 	 FBgn0000644
Q02361 	 FBgn0004896
Q02360 	 FBgn0004895
P32028 	 FBgn0004897
P32029 	 FBgn0004898
P46415 	 FBgn0011768
Q8WSF3 	 FBgn0045063
P37193 	 FBgn0011769
Q9V9S8 	 FBgn0266268
A1ZBY1 	 FBgn0034542
Q7K7A9 	 FBgn0025832
Q9GNL3 	 FBgn0030090
P18106 	 FBgn0000723
Q9VGJ5 	 FBgn0037937
Q9W385 	 FBgn0030092
Q9W1V3 	 FBgn0003062
Q8SWV6 	 FBgn0263278
Q9VAH4 	 FBgn0039694
Q9VZI3 	 FBgn0035498
P54360 	 FBgn0000658
P54397 	 FBgn0013269
P48375 	 FBgn0013954
Q9VL78 	 FBgn0029174
P14734 	 FBgn0000659
Q9Y091 	 FBgn0000662
Q9VFS5 	 FBgn0024555
Q24020 	 FBgn0000709
P35554 	 FBgn0005633
O61491 	 FBgn0024754
O61492 	 FBgn0264078
Q9VU68 	 FBgn0260049
P48462 	 FBgn0000711
Q9NFU0 	 FBgn0028734
P10552 	 FBgn0000715
Q24342 	 FBgn0011591
P40795 	 FBgn0000719
Q9VSL7 	 FBgn0024236
Q03043 	 FBgn0000721
P32023 	 P32023missing
Q95V55 	 FBgn0038197
Q9VZW5 	 FBgn0035385
Q95YI5 	 FBgn0042641
Q9VWA8 	 FBgn0036964
P37236 	 FBgn0030897
Q9VQ36 	 FBgn0086698
Q8IN81 	 FBgn0004652
Q9VT28 	 FBgn0016081
P13709 	 FBgn0004656
P13468 	 FBgn0000810
P25028 	 FBgn0000927
O18388 	 FBgn0262743
Q9V6L9 	 FBgn0043010
P33450 	 FBgn0001075
P02835 	 FBgn0001077
P33244 	 FBgn0001078
P23647 	 FBgn0001079
Q9VTJ4 	 FBgn0036169
Q9VYV5 	 FBgn0030327
Q9VUL9 	 FBgn0036485
Q9VLC1 	 FBgn0032117
P83088 	 FBgn0044872
P26016 	 FBgn0004509
